127.0.0.1 - - [28/May/2017:13:31:26 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/May/2017:13:31:42 +0530] "GET /project1/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [28/May/2017:13:31:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:12 +0530] "GET /project1/homePage HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:13 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:13 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:13 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 23952
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:13 +0530] "GET /project1/resources/images/bm1.jpg HTTP/1.1" 200 5887
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:13 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:13 +0530] "GET /project1/resources/images/s1.png HTTP/1.1" 200 42544
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:13 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 8068
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/76.png HTTP/1.1" 200 66477
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/71.png HTTP/1.1" 200 53461
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/74.png HTTP/1.1" 200 32880
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/72.png HTTP/1.1" 200 55213
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/75.png HTTP/1.1" 200 37382
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/77.png HTTP/1.1" 200 74634
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/79.png HTTP/1.1" 200 78585
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/78.png HTTP/1.1" 200 44989
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/80.png HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:17 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:23 +0530] "GET /project1/all/product/productsByCategory?searchCondition=Motorcycle HTTP/1.1" 200 8078
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:23 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:23 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:23 +0530] "GET /project1/resources/images/72.png HTTP/1.1" 200 55213
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:23 +0530] "GET /project1/resources/images/71.png HTTP/1.1" 200 53461
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:23 +0530] "GET /project1/resources/images/76.png HTTP/1.1" 200 66477
0:0:0:0:0:0:0:1 - - [28/May/2017:13:32:23 +0530] "GET /project1/resources/images/74.png HTTP/1.1" 200 32880
