0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:22 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:22 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:22 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:39 +0530] "GET /project1/ HTTP/1.1" 200 6916
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:39 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:40 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:40 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:40 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:40 +0530] "GET /project1/resources/images/bicy1.jpg HTTP/1.1" 200 207192
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:40 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:43:40 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 9952
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/resources/images/78.png HTTP/1.1" 200 44989
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/resources/images/77.png HTTP/1.1" 200 74634
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/resources/images/80.png HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/resources/images/79.png HTTP/1.1" 200 78585
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/resources/images/75.png HTTP/1.1" 200 37382
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/resources/images/74.png HTTP/1.1" 200 32880
0:0:0:0:0:0:0:1 - - [06/Jun/2017:13:53:48 +0530] "GET /project1/resources/images/82.png HTTP/1.1" 200 60495
