127.0.0.1 - - [19/Jun/2017:20:50:44 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:50:49 +0530] "GET /project1/ HTTP/1.1" 500 38764
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:50:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:51:14 +0530] "GET /project1/ HTTP/1.1" 200 6911
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:51:15 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:51:15 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:51:15 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:51:15 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:51:15 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:51:15 +0530] "GET /project1/resources/images/bicy1.jpg HTTP/1.1" 200 207192
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:52:23 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:52:48 +0530] "GET /project1/aboutus HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:52:48 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:52:48 +0530] "GET /project1/resources/images/abt.jpg HTTP/1.1" 200 391467
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:53:04 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:53:04 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:53:14 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:53:14 +0530] "GET /project1/resources/images/78.png HTTP/1.1" 200 44989
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:53:14 +0530] "GET /project1/resources/images/80.png HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [19/Jun/2017:20:53:14 +0530] "GET /project1/resources/images/81.png HTTP/1.1" 200 71563
