127.0.0.1 - - [18/May/2017:23:32:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/May/2017:23:32:30 +0530] "GET /project1/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [18/May/2017:23:32:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/May/2017:23:33:12 +0530] "GET /project1/admin/product/productform HTTP/1.1" 500 16957
0:0:0:0:0:0:0:1 - - [18/May/2017:23:33:58 +0530] "GET /project1/admin/product/productform HTTP/1.1" 200 5434
0:0:0:0:0:0:0:1 - - [18/May/2017:23:33:58 +0530] "GET /project1/admin/product/resources/images/gogreen2.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/May/2017:23:33:58 +0530] "GET /project1/admin/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/May/2017:23:33:58 +0530] "GET /project1/admin/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/May/2017:23:33:58 +0530] "GET /project1/admin/product/resources/images/gogreen2.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/May/2017:23:34:20 +0530] "GET /project1/admin/product/admin/product/productform HTTP/1.1" 404 992
