127.0.0.1 - - [18/Jun/2017:11:01:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "GET /project1/resources/images/bicy1.jpg HTTP/1.1" 200 207192
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:25 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:29 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 10052
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/78.png HTTP/1.1" 200 44989
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/79.png HTTP/1.1" 200 78585
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/80.png HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/81.png HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/82.png HTTP/1.1" 200 60495
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/83.png HTTP/1.1" 200 72833
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/74.png HTTP/1.1" 200 32880
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/87.png HTTP/1.1" 200 17943
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/72.png HTTP/1.1" 200 55213
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/84.png HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/71.png HTTP/1.1" 200 53461
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/76.png HTTP/1.1" 200 66477
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/85.png HTTP/1.1" 200 47633
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/75.png HTTP/1.1" 200 37382
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/resources/images/77.png HTTP/1.1" 200 74634
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:30 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:39 +0530] "GET /project1/all/product/viewproduct/84 HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:39 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:40 +0530] "GET /project1/resources/images/84.png HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:40 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:40 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:43 +0530] "GET /project1/cart/addToCart/84 HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:44 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:53 +0530] "GET /project1/cart/ViewCart HTTP/1.1" 200 5101
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:01:53 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:02:17 +0530] "GET /project1/cart/addToCart/84 HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:02:18 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:02:55 +0530] "GET /project1/cart/addToCart/84 HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:02:55 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:02:58 +0530] "GET /project1/cart/addToCart/84 HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:02:59 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:02 +0530] "GET /project1/cart/ViewCart HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:02 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 10052
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/78.png HTTP/1.1" 200 44989
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/74.png HTTP/1.1" 200 32880
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/79.png HTTP/1.1" 200 78585
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/81.png HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/71.png HTTP/1.1" 200 53461
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/80.png HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/82.png HTTP/1.1" 200 60495
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/87.png HTTP/1.1" 200 17943
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/83.png HTTP/1.1" 200 72833
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/72.png HTTP/1.1" 200 55213
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/75.png HTTP/1.1" 200 37382
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/85.png HTTP/1.1" 200 47633
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/84.png HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/76.png HTTP/1.1" 200 66477
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/resources/images/77.png HTTP/1.1" 200 74634
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:04 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:05 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:08 +0530] "GET /project1/all/product/viewproduct/79 HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:09 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:09 +0530] "GET /project1/resources/images/79.png HTTP/1.1" 200 78585
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:09 +0530] "GET /project1/all/product/viewproduct/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:09 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:34 +0530] "GET /project1/cart/addToCart/79 HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:34 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:46 +0530] "GET /project1/cart/ViewCart HTTP/1.1" 200 5356
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:03:46 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 10052
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/78.png HTTP/1.1" 200 44989
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/74.png HTTP/1.1" 200 32880
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/71.png HTTP/1.1" 200 53461
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/80.png HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/81.png HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/79.png HTTP/1.1" 200 78585
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/82.png HTTP/1.1" 200 60495
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/83.png HTTP/1.1" 200 72833
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/84.png HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/72.png HTTP/1.1" 200 55213
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/87.png HTTP/1.1" 200 17943
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:22 +0530] "GET /project1/resources/images/85.png HTTP/1.1" 200 47633
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:23 +0530] "GET /project1/resources/images/77.png HTTP/1.1" 200 74634
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:23 +0530] "GET /project1/resources/images/75.png HTTP/1.1" 200 37382
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:23 +0530] "GET /project1/resources/images/76.png HTTP/1.1" 200 66477
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:23 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:25 +0530] "GET /project1/cart/ViewCart HTTP/1.1" 200 5356
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:25 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:36 +0530] "GET /project1/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:36 +0530] "GET /project1/login?logout HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:36 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:36 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Jun/2017:11:04:36 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
