127.0.0.1 - - [05/Jun/2017:11:05:34 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:44 +0530] "GET /project1/ HTTP/1.1" 200 6876
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:44 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:44 +0530] "GET /project1/resources/images/bicy1.jpg HTTP/1.1" 200 207192
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:45 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:45 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:45 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:45 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:45 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:05:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:30 +0530] "GET /project1/aboutus HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:30 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:30 +0530] "GET /project1/resources/images/abt.jpg HTTP/1.1" 200 391467
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:30 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:31 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:42 +0530] "GET /project1/homePage HTTP/1.1" 200 6876
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:42 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:43 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:43 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:43 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:43 +0530] "GET /project1/resources/images/bicy1.jpg HTTP/1.1" 200 207192
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:43 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:06:43 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:12:16 +0530] "GET /project1/aboutus HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:12:17 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:12:20 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:12:20 +0530] "GET /project1/resources/images/abt.jpg HTTP/1.1" 200 391467
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:12:21 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:20:09 +0530] "GET /project1/aboutus HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:20:09 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:20:10 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:20:10 +0530] "GET /project1/resources/images/abt.jpg HTTP/1.1" 200 391467
0:0:0:0:0:0:0:1 - - [05/Jun/2017:11:20:10 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:28:04 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10014
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:28:04 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:28:05 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:28:05 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:30:28 +0530] "POST /project1/all/register HTTP/1.1" 200 3928
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:30:28 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:30:29 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:30:29 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/75.png HTTP/1.1" 200 37382
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/74.png HTTP/1.1" 200 32880
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/78.png HTTP/1.1" 200 44989
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/79.png HTTP/1.1" 200 78585
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/80.png HTTP/1.1" 200 57630
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/81.png HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/72.png HTTP/1.1" 200 55213
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/71.png HTTP/1.1" 200 53461
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/83.png HTTP/1.1" 200 72833
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/82.png HTTP/1.1" 200 60495
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/85.png HTTP/1.1" 200 47633
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/86.png HTTP/1.1" 200 37263
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/73.png HTTP/1.1" 200 43364
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/76.png HTTP/1.1" 200 66477
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/77.png HTTP/1.1" 200 74634
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/84.png HTTP/1.1" 200 45108
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/87.png HTTP/1.1" 200 17943
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:45 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:12:57:46 +0530] "GET /project1/all/product/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:08 +0530] "GET /project1/homePage HTTP/1.1" 200 6860
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:08 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:08 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:08 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:08 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:08 +0530] "GET /project1/resources/images/bicy1.jpg HTTP/1.1" 200 207192
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:09 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:09 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:32 +0530] "GET /project1/aboutus HTTP/1.1" 200 6596
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:32 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:32 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:32 +0530] "GET /project1/resources/images/abt.jpg HTTP/1.1" 200 391467
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:49:33 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:51:11 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10410
0:0:0:0:0:0:0:1 - - [05/Jun/2017:13:51:11 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
