127.0.0.1 - - [16/Jun/2017:20:11:06 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:11 +0530] "GET /project1/ HTTP/1.1" 200 6911
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:11 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:11 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:11 +0530] "GET /project1/resources/images/bicy1.jpg HTTP/1.1" 200 207192
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:11 +0530] "GET /project1/resources/images/v3.jpg HTTP/1.1" 200 127467
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:11 +0530] "GET /project1/resources/images/sf1.jpg HTTP/1.1" 200 71223
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:12 +0530] "GET /project1/resources/images/std4.jpg HTTP/1.1" 200 120259
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:12 +0530] "GET /project1/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:20 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10444
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:20 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:20 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:11:21 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:14:04 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10420
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:14:04 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:14:06 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:14:06 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:15:39 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10442
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:15:39 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:15:40 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:15:40 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:16:21 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10424
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:16:21 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:16:22 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:16:22 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:16:46 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10421
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:16:46 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:16:47 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:16:47 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:17:05 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10418
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:17:05 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:17:06 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:17:06 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:14 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10424
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:14 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:16 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:16 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:42 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:42 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:43 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:43 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:54 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10428
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:54 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:54 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:19:54 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:20:12 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10418
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:20:12 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:20:13 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:20:13 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:21:42 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10415
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:21:42 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:21:43 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:21:43 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:21:56 +0530] "GET /project1/all/registrationform HTTP/1.1" 200 10418
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:21:56 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:21:57 +0530] "GET /project1/all/resources/js/sample.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Jun/2017:20:21:57 +0530] "GET /project1/resources/images/igg.jpg HTTP/1.1" 200 8205
